DIA,CANTIDAD
1,1
2,0
3,6
4,0
5,1
6,3
7,4
8,5
9,1
10,3
11,3
12,4
13,0
14,6
15,3
16,3
17,3
18,6
19,2
20,6
21,9
22,2
23,10
24,5
25,7
26,40
27,10
28,6
29,19
30,9
31,4
32,8
33,74
34,19
35,7
36,3
37,18
38,13
39,66
40,41
41,43
42,12
43,67
44,17
45,26
46,21
47,34
48,31
49,34
50,6
51,10
52,38
53,20
54,42
55,57
56,28
57,143
58,49
59,64
60,79
61,139
62,175
63,158
64,106
65,88
66,155
67,246
68,211
69,299
70,426
71,269
72,339
73,302
74,259
75,306
76,269
77,211
78,299
79,198
80,280
81,179
82,265
83,411
84,397
85,286
86,318
87,343
88,364
89,431
90,218
91,414
92,96
93,303
94,555
95,718
96,551
97,814
98,486
99,256
100,418
101,780
102,778
103,351
104,1037
105,671
106,572
107,466
108,734
109,984
110,1138
111,1299
112,1330
113,790
114,700
115,901
116,674
117,1236
118,1003
119,1008
120,806
121,408
122,1220
123,1261
124,939
125,1021
126,1191
127,666
128,340
129,1296
130,1131
131,1073
132,1019
133,1272
134,638
135,261
136,1209
137,1179
138,1271
139,1000
140,1163
141,358
142,227
143,788
144,1143
145,824
146,943
147,903
148,420
149,389
150,996
151,1151
152,1233
153,1144
154,903
155,337
156,310
157,909
158,1043
159,1124
160,1052
161,943
162,331
163,342
164,1152
165,1082
166,1141
167,1065
168,749
169,227
170,166
171,813
172,724
173,681
174,670
175,441
176,189
177,146
178,821
179,893
180,680
181,694
182,625
183,253
184,256
185,455
186,243
187,731
188,724
189,742
190,289
191,222
192,896
193,752
194,449
195,872
196,796
197,395
198,162
199,697
200,790
201,684
202,660
203,618
204,212
205,209
206,678
207,793
208,730
209,426
210,583
211,167
212,106
213,521
214,708
215,653
216,634
217,571
218,353
219,233
220,594
221,157
222,771
223,729
224,701
225,156
226,104
227,665
228,702
229,552
230,553
231,619
232,162
233,38
234,237
235,634
236,653
237,634
238,530
239,215
240,82
241,765
242,662
243,704
244,564
245,549
246,160
247,126
248,688
249,600
250,639
251,692
252,635
253,191
254,86
255,589
256,600
257,664
258,410
259,642
260,161
261,91
262,715
263,708
264,602
265,735
266,547
267,180
268,125
269,785
270,671
271,661
272,732
273,562
274,176
275,122
276,654
277,722
278,608
279,628
280,526
281,168
282,104
283,750
284,676
285,633
286,176
287,82
288,161
289,116
290,798
291,812
292,855
293,207
294,101
295,176
296,204
297,849
298,819
299,882
300,992
301,1053
302,340
303,203
304,1018
305,993
306,962
307,1132
308,1012
309,308
310,252
311,1097
312,1016
313,994
314,1224
315,952
316,345
317,229
318,1039
319,1048
320,1132
321,756
322,801
323,394
324,138
325,679
326,668
327,683
328,668
329,644
330,226
331,106
332,776
333,804
334,818
335,751
336,831
337,175
338,131
339,701
340,769
341,742
342,683
343,670
344,242
345,127
346,833
347,692
348,743
349,670
350,520
351,190
352,155
353,752
354,826
355,643
356,814
357,647
358,239
359,216
360,809
361,815
362,755
363,871
364,727
365,223
366,144
367,946
368,938
369,901
370,856
371,947
372,303
373,210
374,987
375,1100
376,1041
377,978
378,938
379,348
380,190
381,298
382,490
383,366
384,280
385,203
386,215
387,182
388,1351
389,1327
390,1510
391,1256
392,1326
393,421
394,231
395,1997
396,1793
397,1549
398,1962
399,1604
400,407
401,289
402,1618
403,1609
404,1826
405,1631
406,1480
407,368
408,233
409,1069
410,1574
411,1629
412,1388
413,778
414,192
415,173
416,1200
417,1187
418,1147
419,1261
420,1143
421,194
422,200
423,948
424,1376
425,1091
426,1367
427,910
428,207
429,151
430,1197
431,1022
432,1388
433,891
434,929
435,329
436,181
437,1126
438,1453
439,989
440,1566
441,854
442,353
443,192
444,1425
445,1289
446,1406
447,1325
448,1363
449,537
450,307
451,1560
452,1810
453,1757
454,1798
455,1778
456,514
457,273
458,1708
459,1507
460,1691
461,1471
462,1502
463,492
464,329
465,1834
466,2000
467,1977
468,2269
469,1840
470,743
471,382
472,710
473,2820
474,2862
475,2492
476,2287
477,823
478,520
479,2775
480,2984
481,3078
482,2924
483,3001
484,1237
485,618
486,2995
487,2869
488,2703
489,2885
490,2486
491,712
492,545
493,3387
494,3095
495,3364
496,3275
497,3320
498,1272
499,496
500,2639
501,3575
502,3336
503,3394
504,2956
505,1142
506,632
507,2789
508,4399
509,4068
510,3998
511,3998
512,1004
513,604
514,3305
515,4618
516,4358
517,4216
518,4167
519,1309
520,757
521,3823
522,4650
523,5826
524,5243
525,4580
526,1334
527,754
528,4917
529,5175
530,5113
531,4754
532,3736
533,1306
534,740
535,4478
536,5271
537,3828
538,4887
539,2556
540,1079
541,640
542,4032
543,5120
544,3150
545,4800
546,4014
547,1070
548,733
549,4299
550,4229
551,1107
552,4068
553,3428
554,834
555,604
556,3718
557,4243
558,4037
559,3771
560,2808
561,956
562,773
563,2956
564,3955
565,3070
566,2942
567,2309
568,684
569,386
570,2804
571,2663
572,2610
573,2105
574,1991
575,680
576,285
577,1724
578,1703
579,1412
580,1705
581,1369
582,382
583,193
584,1724
585,1474
586,307
587,1692
588,1206
589,343
590,59
591,1350
592,1351
593,1274
594,1377
595,982
596,170
597,85
598,136
599,782
600,1066
601,945
602,829
603,249
604,85
605,994
606,754
607,810
608,829
609,593
610,275
611,30
612,557
613,783
614,813
615,827
616,699
617,179
618,58
619,960
620,815
621,829
622,483
623,458
624,115
625,11
626,363
627,452
628,291
629,313
630,502
631,310
632,39
633,544
634,418
635,475
636,516
637,324
638,61
639,8
640,288
641,341
642,329
643,254
644,213
645,69
646,64
647,376
648,373
649,322
650,163
651,98
652,39
653,91
654,597
655,821
656,887
657,797
658,230
659,106
660,109
661,1007
662,1919
663,2044
664,1839
665,2050
666,1042
667,343
668,2116
669,2283
670,2872
671,2628
672,2827
673,1397
674,384
675,2901
676,3199
677,3173
678,3189
679,2995
680,818
681,659
682,3070
683,3655
684,4094
685,4234
686,2784
687,1283
688,681
689,4223
690,3872
691,3925
692,3304
693,4296
694,1166
695,981
696,4025
697,4720
698,4899
699,4275
700,3983
701,1139
702,858
703,4054
704,4743
705,4503
706,4024
707,3319
708,988
709,715
710,3793
711,4379
712,3660
713,3440
714,2687
715,729
716,679
717,3145
718,3209
719,2845
720,2485
721,2590
722,559
723,458
724,2847
725,2592
726,2003
727,2341
728,1965
729,321
730,363
731,2060
732,2133
733,2539
734,1986
735,1665
736,360
737,517
738,1801
739,2023
740,1357
741,1311
742,1014
743,343
744,142
745,1417
746,1535
747,1278
748,1007
749,864
750,188
751,216
752,1010
753,797
754,767
755,758
756,732
757,125
758,87
759,809
760,853
761,239
762,51
763,115
764,66
765,50
766,910
767,898
768,1061
769,864
770,1028
771,203
772,81
773,616
774,790
775,930
776,879
